0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/cart/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/cart/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/cart/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:12 +0530] "GET /ShoeRack/cart/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:13 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:47:13 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/getCartId HTTP/1.1" 200 6115
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:12 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:48:13 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:11 +0530] "GET /ShoeRack/cart/getCartId HTTP/1.1" 200 6130
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:11 +0530] "GET /ShoeRack/cart/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:11 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:11 +0530] "GET /ShoeRack/cart/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:11 +0530] "GET /ShoeRack/cart/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:12 +0530] "GET /ShoeRack/cart/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:12 +0530] "GET /ShoeRack/cart/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:12 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:13 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:30 +0530] "PUT /ShoeRack/cart/removeCartItem/7 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:30 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:31 +0530] "PUT /ShoeRack/cart/removeCartItem/9 HTTP/1.1" 204 -
